City,Year,Month,TransportType,PassengerCount,VehicleCount,Accidents,CarbonEmission
Mumbai,2021,1,Car,4243,6656,10,6656
Mumbai,2021,1,Bike,2967,2765,16,2765
Mumbai,2021,1,Bus,36230,7872,40,7872
Mumbai,2021,1,Metro,11311,4685,47,4685
Mumbai,2021,1,EV,11966,3128,23,625.6
Mumbai,2021,2,Car,12806,5590,35,5590
Mumbai,2021,2,Bike,9444,3819,1,3819
Mumbai,2021,2,Bus,31985,1993,22,1993
Mumbai,2021,2,Metro,49537,5960,12,5960
Mumbai,2021,2,EV,19902,5717,41,1143.4
Mumbai,2021,3,Car,18643,2429,49,2429
Mumbai,2021,3,Bike,10326,3909,20,3909
Mumbai,2021,3,Bus,49118,5181,31,5181
Mumbai,2021,3,Metro,34290,1642,24,1642
Mumbai,2021,3,EV,10388,4799,40,959.8
Mumbai,2021,4,Car,5746,2372,40,2372
Mumbai,2021,4,Bike,12055,4455,40,4455
Mumbai,2021,4,Bus,45128,5682,25,5682
Mumbai,2021,4,Metro,9675,1648,10,1648
Mumbai,2021,4,EV,12259,2869,20,573.8
Mumbai,2021,5,Car,11383,6349,18,6349
Mumbai,2021,5,Bike,9764,5959,41,5959
Mumbai,2021,5,Bus,30916,3222,28,3222
Mumbai,2021,5,Metro,28800,7126,37,7126
Mumbai,2021,5,EV,18070,4688,26,937.6
Mumbai,2021,6,Car,6482,2506,1,2506
Mumbai,2021,6,Bike,5097,6961,15,6961
Mumbai,2021,6,Bus,48386,3061,47,3061
Mumbai,2021,6,Metro,10247,2725,10,2725
Mumbai,2021,6,EV,14010,1843,6,368.6
Mumbai,2021,7,Car,3090,4876,35,4876
Mumbai,2021,7,Bike,2763,1215,49,1215
Mumbai,2021,7,Bus,31018,5292,48,5292
Mumbai,2021,7,Metro,10455,1851,16,1851
Mumbai,2021,7,EV,6088,1690,41,338
Mumbai,2021,8,Car,13774,3534,14,3534
Mumbai,2021,8,Bike,9106,7042,18,7042
Mumbai,2021,8,Bus,34042,6132,8,6132
Mumbai,2021,8,Metro,13603,5315,10,5315
Mumbai,2021,8,EV,1936,1287,42,257.4
Mumbai,2021,9,Car,12692,3664,30,3664
Mumbai,2021,9,Bike,16308,5428,17,5428
Mumbai,2021,9,Bus,40949,4644,8,4644
Mumbai,2021,9,Metro,40342,2450,37,2450
Mumbai,2021,9,EV,15960,6169,47,1233.8
Mumbai,2021,10,Car,19480,4563,33,4563
Mumbai,2021,10,Bike,18491,3536,22,3536
Mumbai,2021,10,Bus,36565,5420,14,5420
Mumbai,2021,10,Metro,10869,4619,19,4619
Mumbai,2021,10,EV,12985,4376,16,875.2
Mumbai,2021,11,Car,6102,3486,0,3486
Mumbai,2021,11,Bike,1003,5287,48,5287
Mumbai,2021,11,Bus,13932,3817,18,3817
Mumbai,2021,11,Metro,35749,5383,0,5383
Mumbai,2021,11,EV,17119,7188,30,1437.6
